chroma_major_strength,chroma_minor_strength,mfcc_1,mfcc_2,mfcc_3,spectral_centroid,rms,zcr,mood,timestamp
0.264284,0.247935,16.472319,9.012811,1.961541,16.826667,0.020637,21.6,Sad,2026-04-12T01:19:15.673109
0.241277,0.244423,12.978038,10.240957,6.445679,5.843333,0.015368,10.0,Sad,2026-04-12T01:19:28.993294
0.254917,0.252933,2.933434,2.65304,2.220181,3.353333,0.004043,4.933333,Sad,2026-04-12T01:19:39.977628
0.242825,0.240338,21.370438,16.457637,9.853491,4.938667,0.024133,9.6,Sad,2026-04-12T01:19:54.501768
0.2482,0.266458,30.651337,5.576281,-1.929222,15.185333,0.038914,25.2,Sad,2026-04-12T01:20:04.504742
0.257247,0.258909,23.032395,8.354281,-1.380227,12.185333,0.023437,17.333333,Sad,2026-04-12T01:20:17.623254
0.255082,0.250923,38.743839,23.964476,14.478101,10.065333,0.062375,8.266667,Sad,2026-04-12T01:20:30.115970
0.235474,0.237238,34.415934,9.703252,2.672075,21.064,0.056976,31.6,Sad,2026-04-12T01:20:43.012745
0.245662,0.234909,5.540148,3.092051,1.009997,10.851333,0.007576,15.733333,Sad,2026-04-12T01:20:56.260733
0.255821,0.257299,8.580529,5.050677,5.112013,23.374,0.012723,26.666667,Sad,2026-04-12T01:21:10.991149
0.249792,0.249795,53.308863,28.93139,11.903785,11.666,0.089834,10.933333,Sad,2026-04-12T01:21:24.841352
0.254012,0.252359,34.892975,7.092274,-8.136107,15.454667,0.036539,21.6,Sad,2026-04-12T01:21:34.625546
0.2556,0.250758,23.794994,11.485017,0.350143,7.59,0.030024,10.666667,Sad,2026-04-12T01:21:44.335012
0.254039,0.254469,45.694169,29.81219,18.678001,10.536,0.099008,6.533333,Sad,2026-04-12T01:21:55.999664
0.255207,0.250059,12.983012,3.442323,-3.825667,10.426667,0.018687,15.6,Sad,2026-04-12T01:22:11.178185
0.256956,0.25793,34.444338,11.429422,-5.23224,13.753333,0.042815,16.8,Sad,2026-04-12T01:22:20.308147
0.451739,0.386646,-0.675242,-5.18466,2.140004,49.131333,0.00645,86.0,Sad,2026-04-12T01:22:31.347104
0.246355,0.242943,47.669419,26.140208,22.553715,20.088667,0.108608,21.2,Sad,2026-04-12T01:22:40.201187
0.251439,0.256406,23.562179,13.41535,9.206223,26.610667,0.037855,27.066667,Sad,2026-04-12T01:22:50.838848
0.254547,0.25202,30.422709,4.594019,11.031477,28.661333,0.094552,31.466667,Happy,2026-04-12T01:23:17.515793
0.246784,0.248519,27.50192,3.785385,0.068521,24.426667,0.036959,26.933333,Happy,2026-04-12T01:23:29.885646
0.24336,0.232974,25.782163,-12.833897,2.246677,41.645333,0.066627,51.333333,Happy,2026-04-12T01:24:04.303723
0.255443,0.251371,57.179601,12.287813,1.628037,19.82,0.096685,21.6,Happy,2026-04-12T01:24:22.492305
0.246134,0.255693,18.50303,12.028319,9.450231,20.609333,0.026184,22.0,Happy,2026-04-12T01:24:34.405682
0.254569,0.252885,24.357021,11.745306,12.047014,18.459333,0.041375,11.2,Happy,2026-04-12T01:24:53.551645
0.253248,0.248237,22.883018,4.803418,5.060733,22.487333,0.038332,22.666667,Happy,2026-04-12T01:25:09.448991
0.210373,0.236295,4.633545,-6.945638,-1.075011,55.156667,0.015887,87.066667,Happy,2026-04-12T01:25:19.976445
0.247946,0.245265,9.533663,8.696033,8.578621,29.048,0.015143,33.466667,Happy,2026-04-12T01:25:32.664680
0.256224,0.263259,32.429657,-6.556339,-2.064379,28.247333,0.047504,37.2,Happy,2026-04-12T01:25:41.964349
0.247026,0.251033,24.225071,8.339753,13.968176,33.454,0.038178,29.2,Happy,2026-04-12T01:25:54.774536
0.245742,0.249841,0.573971,1.653411,1.74339,63.795333,0.005178,110.8,Happy,2026-04-12T01:26:02.469921
0.264529,0.256367,54.081971,4.376109,3.640534,21.133333,0.119078,24.0,Happy,2026-04-12T01:26:20.223251
0.25214,0.255213,44.489611,1.593472,3.333365,26.280667,0.073173,32.666667,Happy,2026-04-12T01:26:35.041867
0.255461,0.253663,16.921199,10.496377,11.778031,20.104,0.032955,17.2,Happy,2026-04-12T01:26:47.928777
0.247143,0.249461,17.568749,-5.656985,-5.636179,27.442667,0.027207,37.2,Happy,2026-04-12T01:27:02.921828
0.224464,0.235749,10.297189,-0.107256,-4.878991,19.767333,0.010756,28.933333,Happy,2026-04-12T01:27:21.575993
0.247791,0.250513,7.868769,4.620373,15.263508,50.108,0.024007,79.466667,Happy,2026-04-12T01:27:36.949679
0.243269,0.244769,59.461701,18.097533,7.81802,14.388,0.158029,13.333333,Happy,2026-04-12T01:27:48.356287
0.258678,0.253291,37.367533,5.613554,17.495235,35.285333,0.068493,35.733333,Happy,2026-04-12T01:28:05.583028
0.243981,0.240936,32.772788,-4.686017,-0.543188,29.355333,0.062115,36.933333,Happy,2026-04-12T01:28:18.168328
0.274149,0.250899,18.567484,-4.021205,2.410404,20.739333,0.027364,30.133333,Happy,2026-04-12T01:28:31.282393
0.245297,0.247207,72.148891,-4.534344,9.485603,21.712,0.181711,21.866667,Happy,2026-04-12T01:28:59.648906
0.238716,0.2425,45.168728,2.020529,12.081903,32.517333,0.101516,36.666667,Happy,2026-04-12T01:29:33.780134
0.236839,0.256045,16.351204,-0.130246,1.518528,35.218,0.022772,48.4,Happy,2026-04-12T01:29:52.612819
0.248687,0.240363,18.411079,13.027523,9.130837,7.509333,0.04612,9.2,Happy,2026-04-12T01:30:14.309178
0.237757,0.235427,39.914341,-0.561059,-18.894501,20.178667,0.06026,23.866667,Happy,2026-04-12T01:30:21.200838
0.250193,0.250787,10.579649,8.714916,8.070797,14.821333,0.01635,18.533333,Happy,2026-04-12T01:30:38.476656
0.255678,0.249324,34.933878,21.701931,8.741882,6.734,0.036981,10.133333,Happy,2026-04-12T01:31:03.133704
0.249849,0.258107,22.887007,-6.516465,-9.691399,22.055333,0.028897,36.4,Happy,2026-04-12T01:31:59.809891
0.218929,0.231945,15.627789,-2.00814,-13.032143,16.268667,0.020812,25.466667,Happy,2026-04-12T01:32:17.313903
0.243937,0.239357,30.29927,17.853425,15.526805,14.288667,0.076643,11.2,Happy,2026-04-12T01:32:35.445852
0.240086,0.236571,54.167908,5.704247,2.228694,21.604,0.08129,22.0,Happy,2026-04-12T01:32:44.749263
0.2389,0.210327,2.172103,-30.466106,-2.091373,46.93,0.045961,88.533333,Happy,2026-04-12T01:33:42.861643
0.277641,0.2459,8.475473,-16.20025,-0.644731,44.408,0.037889,72.266667,Happy,2026-04-12T01:34:05.091243
0.247995,0.244269,24.674659,5.326081,5.987801,18.7,0.031944,22.266667,Angry,2026-04-12T01:34:31.449835
0.247769,0.252011,45.169565,16.645024,13.871079,25.155333,0.10159,25.333333,Angry,2026-04-12T01:34:44.188754
0.245403,0.246583,34.332836,3.2447,4.233929,26.710667,0.05134,24.666667,Angry,2026-04-12T01:34:55.375268
0.249226,0.249831,12.539501,-3.402867,4.358846,25.525333,0.036377,38.8,Angry,2026-04-12T01:35:08.219872
0.257889,0.25465,30.308964,11.797278,6.020554,15.454,0.035768,15.866667,Angry,2026-04-12T01:35:27.257263
0.262937,0.261458,23.738198,7.196635,2.550861,25.912,0.028254,38.933333,Angry,2026-04-12T01:35:49.379672
0.253798,0.254101,50.519603,-22.184534,12.415884,35.279333,0.163476,44.666667,Angry,2026-04-12T01:36:07.465621
0.25395,0.243515,45.506613,-7.868055,3.205768,28.134,0.107925,27.466667,Angry,2026-04-12T01:36:14.910040
0.258417,0.255613,53.372204,-12.440725,18.085487,31.376667,0.128359,38.533333,Angry,2026-04-12T01:36:39.138825
0.250973,0.245254,38.118346,22.386029,17.71798,10.932667,0.085231,6.8,Angry,2026-04-12T01:36:57.069231
0.248001,0.254247,23.103655,4.322835,12.035385,31.052,0.034927,32.8,Angry,2026-04-12T01:37:18.867125
0.250577,0.249993,35.758993,4.932561,11.729049,29.592,0.079612,36.8,Angry,2026-04-12T01:37:43.703158
0.254886,0.254873,34.430573,6.117798,7.361975,37.972667,0.061063,66.0,Angry,2026-04-12T01:38:06.464241
0.254171,0.242266,33.809397,8.755091,10.677669,22.030667,0.073158,24.266667,Angry,2026-04-12T01:38:16.843160
0.248214,0.26075,14.713552,-5.997033,-1.253796,39.642667,0.023875,65.333333,Angry,2026-04-12T01:38:29.310210
0.251843,0.251813,38.674959,8.56328,16.272824,21.41,0.05742,21.866667,Angry,2026-04-12T01:38:39.866197
0.258435,0.258111,9.946633,6.320223,6.682057,36.68,0.012409,41.6,Angry,2026-04-12T01:40:05.537242
0.251661,0.246098,14.591991,9.996445,10.925949,10.177333,0.024104,10.933333,Angry,2026-04-12T01:40:26.322789
0.255135,0.242422,33.161028,-4.370739,4.654731,30.345333,0.048664,35.333333,Angry,2026-04-12T01:40:40.988802
0.256266,0.255206,35.843335,-14.145975,11.416633,33.533333,0.0939,39.2,Angry,2026-04-12T01:40:57.591724
0.244641,0.242162,2.948324,1.680214,3.190877,38.605333,0.006568,57.2,Angry,2026-04-12T01:41:14.905167
0.246697,0.247429,24.382067,-0.925766,3.682921,29.938,0.029993,41.2,Angry,2026-04-12T01:41:25.467895
0.256509,0.255036,39.516697,-5.546922,15.843518,29.827333,0.075015,29.333333,Angry,2026-04-12T01:41:37.688364
0.256881,0.260306,39.222019,-13.692111,18.405903,28.327333,0.098614,32.0,Angry,2026-04-12T01:42:07.106905
0.251531,0.248259,54.529866,4.545701,11.782217,22.292667,0.137723,18.666667,Angry,2026-04-12T01:42:20.750398
0.247126,0.249131,23.258945,3.414925,11.670551,33.015333,0.045514,33.066667,Angry,2026-04-12T01:42:40.927970
0.250665,0.256532,23.278835,4.244771,2.657709,27.058,0.029056,27.866667,Angry,2026-04-12T01:43:17.538060
0.260725,0.245345,31.32818,5.401861,-11.713702,14.700667,0.047476,16.933333,Angry,2026-04-12T01:43:37.540084
0.253945,0.259982,22.195002,-21.829613,9.718039,46.414,0.089947,70.0,Angry,2026-04-12T01:44:07.139462
0.253017,0.259465,53.128952,-4.966573,7.637385,30.024667,0.116025,31.2,Angry,2026-04-12T01:44:24.319093
0.263613,0.281582,10.09812,1.36532,-1.125751,18.798667,0.014486,28.4,Angry,2026-04-12T01:44:35.074417
0.240259,0.252992,27.748449,9.297921,-4.217087,12.187333,0.030296,16.4,Angry,2026-04-12T01:44:51.501945
0.254735,0.256148,46.772258,-14.151615,5.670537,30.572667,0.087689,46.666667,Angry,2026-04-12T01:45:04.139547
0.247263,0.24669,44.528827,24.366377,11.205721,9.169333,0.067545,10.266667,Angry,2026-04-12T01:45:12.688419
0.254851,0.248396,27.556185,2.574991,15.964292,26.648,0.068896,22.533333,Angry,2026-04-12T01:45:21.588323
0.262919,0.258496,31.719427,5.45403,-6.185378,14.067334,0.014864,28.708634,Energetic,2026-04-12T01:45:36.588323
0.263895,0.241487,46.146371,19.029359,5.012871,-1.011507,-0.044597,4.988703,Sad,2026-04-12T01:46:04.588323
0.263638,0.246323,31.338342,-7.301745,11.734705,33.5361,0.072186,43.74339,Happy,2026-04-12T01:46:34.588323
0.246773,0.255366,27.582053,3.079052,9.609283,23.828085,0.005423,48.487111,Angry,2026-04-12T01:46:44.588323
0.244535,0.239168,21.360777,-7.147612,0.754122,20.159202,0.040549,20.892576,Energetic,2026-04-12T01:46:57.588323
